SESSION NAME:	LIT Afl 1
SAMPLE RATE:	48000.000000
BIT DEPTH:	16-bit
TIME CODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	18
# OF AUDIO REGIONS:	3583
# OF AUDIO FILES:	2973


T R A C K  L I S T I N G
TRACK NAME:	MIX (Stereo)
USER DELAY:	0 Samples
CHANNEL	EVENT	REGION NAME	START TIME	END TIME	DURATION




TRACK NAME:	M&E (Stereo)
USER DELAY:	0 Samples
CHANNEL	EVENT	REGION NAME	START TIME	END TIME	DURATION




TRACK NAME:	VO.01
USER DELAY:	0 Samples
CHANNEL	EVENT	REGION NAME	START TIME	END TIME	DURATION
1	1	VO_07-360	00:02:04:11	00:02:08:20	00:00:04:08
1	2	VO_07-362	00:02:11:11	00:02:13:10	00:00:01:24
1	3	VO_07-366	00:02:14:04	00:02:17:21	00:00:03:16
1	4	VO_07-367	00:02:18:03	00:02:19:09	00:00:01:06
1	5	VO-TiSh_07-368	00:02:19:14	00:02:23:10	00:00:03:20
1	6	VO_07-370	00:02:24:00	00:02:30:00	00:00:06:00
1	7	VO_07-372	00:02:31:04	00:02:32:20	00:00:01:15
1	8	VO-TiSh_11-374	00:02:32:24	00:02:35:05	00:00:02:06
1	9	VO.01_01	00:02:35:05	00:02:37:22	00:00:02:17
1	10	VO-TiSh_13-382	00:02:58:13	00:03:01:02	00:00:02:13
1	11	VO_11-386	00:03:01:03	00:03:02:18	00:00:01:15
1	12	VO-TiSh_12-385	00:03:02:18	00:03:04:17	00:00:01:24
1	13	VO_14-389	00:03:30:04	00:03:30:17	00:00:00:12
1	14	VO_14-390	00:03:30:22	00:03:32:07	00:00:01:09
1	15	VO_19-391	00:03:50:17	00:03:52:21	00:00:02:04
1	16	VO_17-392	00:04:26:00	00:04:28:02	00:00:02:02
1	17	VO_23-397	00:04:35:06	00:04:40:15	00:00:05:08
1	18	VO_23-398	00:04:40:15	00:04:41:20	00:00:01:05
1	19	VO_23-399	00:04:42:02	00:04:43:23	00:00:01:21
1	20	VO_23-400	00:04:43:23	00:04:45:20	00:00:01:22
1	21	VO_24-401	00:04:52:08	00:04:55:02	00:00:02:18
1	22	VO_24-402	00:05:02:13	00:05:13:15	00:00:11:02
1	23	VO_25-36	00:05:13:15	00:05:15:06	00:00:01:15
1	24	VO_26-636	00:05:22:05	00:05:23:23	00:00:01:17
1	25	VO_26-637	00:05:24:00	00:05:28:10	00:00:04:09
1	26	VO_28-406	00:06:32:03	00:06:36:16	00:00:04:12
1	27	VO_28-408	00:06:36:20	00:06:39:17	00:00:02:21
1	28	VO-TiSh_31-419	00:06:59:04	00:07:06:16	00:00:07:12
1	29	VO-TiSh_32-418	00:07:06:22	00:07:10:16	00:00:03:18
1	30	VO-TiSh_34-417	00:07:10:16	00:07:12:20	00:00:02:03
1	31	VO-TiSh_33-416	00:07:12:20	00:07:15:00	00:00:02:05
1	32	VO_35-421	00:09:01:21	00:09:05:11	00:00:03:15
1	33	VO_35-423	00:09:05:21	00:09:09:24	00:00:04:02
1	34	VO_35-425	00:09:10:24	00:09:12:11	00:00:01:12
1	35	VO_35-427	00:09:12:16	00:09:15:03	00:00:02:12
